matrix_name,m,n,nnz_original,nnz_bicg,standalone_gflops,bicg_gflops,perf_ratio,standalone_working_set,bicg_working_set,gflops_change_pct,nnz_change_pct,working_set_change_pct,device,cache_category
Stanford_Berkeley,683446,683446,7583376,8266822,132.372918,111.62370903695955,0.8432518578834951,99.81858123779297,149.36,-15.674814211650487,9.01242401800992,49.63145954177301,ARM-GRACE-72,LLC Spill (In -> Out)
shipsec1,140874,140874,7813404,7813404,281.144429,238.90585233333334,0.8497620002042913,92.09999999999998,100.7,-15.023799979570876,0.0,9.337676438653663,ARM-GRACE-72,Both in LLC
PR02R,161070,161070,8185136,8185136,265.7098976666667,240.68133066666667,0.9058049127270434,96.74,106.57,-9.41950872729565,0.0,10.16125697746537,ARM-GRACE-72,Both in LLC
CurlCurl_2,806529,806529,8921789,8921789,243.29130999999998,116.70427600000001,0.47968945541047076,117.49,166.71,-52.03105445895293,0.0,41.89292705762194,ARM-GRACE-72,Both Out of LLC
gupta3,16783,16783,9323427,9323427,265.41685333333334,235.90001399999997,0.8887906364549368,107.02,108.04,-11.120936354506313,0.0,0.9530928798355545,ARM-GRACE-72,Both in LLC
mip1,66463,66463,10352819,10352819,241.9138343333333,207.90273333333334,0.8594082017106304,119.75,123.8,-14.059179828936957,0.0,3.382045929018787,ARM-GRACE-72,Both Out of LLC
pwtk,217918,217918,11634424,11634424,252.52072466666667,214.04553666666666,0.8476355235761811,137.3,150.6,-15.236447642381892,0.0,9.686817188638006,ARM-GRACE-72,Both Out of LLC
crankseg_2,63838,63838,14148858,14148858,205.47197300000002,159.505045,0.7762861409813784,163.14,167.03,-22.37138590186216,0.0,2.3844550692656705,ARM-GRACE-72,Both Out of LLC
Si41Ge41H72,185639,185639,15011265,15011265,185.37383166666666,128.67186866666668,0.6941209959884757,175.33,186.66,-30.58790040115244,0.0,6.462100039924704,ARM-GRACE-72,Both Out of LLC
TSOPF_RS_b2383,38120,38120,16171169,16173498,183.08801566666668,155.81726159253967,0.8510511243741008,185.7933467102051,188.14,-14.894887562589917,0.014402174635612304,1.263044845978864,ARM-GRACE-72,Both Out of LLC
in-2004,1382908,1382908,16917053,17922551,109.97733733333332,53.853125888582525,0.48967475658514636,219.97298858642577,315.89,-51.03252434148536,5.943694803107846,43.603995213207334,ARM-GRACE-72,Both Out of LLC
